ip,host,first_seen,last_seen
192.168.200.141,sotsensor1.home,2018-11-02 03:20:49.028936,2018-11-02 03:38:03.549883
192.168.200.118,TL-WA801ND.home,2018-11-02 03:25:18.509448,2018-11-02 03:25:18.509492
192.168.200.23,amazon-74aa2cf30.home,2018-11-02 03:25:18.514942,2018-11-02 03:25:18.514970
192.168.200.24,th3J0kr-laptop,2018-11-02 03:25:18.515450,2018-11-02 03:25:18.515461
192.168.200.204,amazon-ac816c568.home,2018-11-02 03:25:37.749467,2018-11-02 03:35:10.905389
192.168.200.215,ubnt.home,2018-11-02 03:26:16.753123,2018-11-02 03:33:27.326039
192.168.200.207,ubnt-srv0.home,2018-11-02 03:28:33.065998,2018-11-02 03:39:45.189763
192.168.200.248,pr_nutcracking.home,2018-11-02 03:29:16.964378,2018-11-02 03:33:48.027706
192.168.200.1,_gateway,2018-11-02 03:29:37.851435,2018-11-02 03:39:03.783200
192.168.200.247,Jacobs-iPhone.home,2018-11-02 03:40:26.883110,2018-11-02 03:40:26.883127
